run,solver,seed,alpha_star,AP_count,MP_count,pairs_selected,best_acc_m,time_s,tts_99_ms,p_s
56,QA,56,0.25,4,5,7,2.7807293915144227,6.314279079437256,0.02,1.0
57,SA,57,0.1875,4,5,5,2.64453394786276,5.3177385330200195,6.431596279144287,1.0
57,QA,57,0.25,3,5,7,2.7203465494453036,6.4094626903533936,0.02,1.0
58,SA,58,0.1875,4,5,6,2.6335810037648324,2.6417038440704346,2.725076675415039,1.0
58,QA,58,0.25,3,5,7,2.7203465494453036,3.1328909397125244,0.02,1.0
59,SA,59,0.25,3,5,7,2.7203465494453036,1.1186916828155518,1.558365821838379,1.0
59,QA,59,0.1875,4,5,6,2.6335810037648324,1.8916842937469482,0.02,1.0
60,SA,60,0.25,5,5,7,2.7734541198959484,1.2786579132080078,1.7641925811767578,1.0
60,QA,60,0.25,3,5,6,2.740016447807493,1.9713902473449707,0.02,1.0
61,SA,61,0.125,3,4,4,2.5706987681922593,1.6261489391326904,2.204878330230713,1.0
61,QA,61,0.125,3,4,4,2.6664017875010804,1.8312733173370361,0.02,1.0
62,SA,62,0.125,3,4,4,2.6054533234956203,1.0651462078094482,1.3649630546569824,1.0
62,QA,62,0.1875,3,4,4,2.5706987681922593,1.7665891647338867,0.02,1.0
63,SA,63,0.25,4,5,7,2.7807293915144227,1.0654559135437012,1.4023089408874512,1.0
63,QA,63,0.125,3,3,4,2.563017415277506,1.8560705184936523,0.02,1.0
64,SA,64,0.1875,4,5,6,2.6335810037648324,1.0811007022857666,1.3269615173339844,1.0
64,QA,64,0.234375,4,5,6,2.6335810037648324,1.9275894165039062,0.02,1.0
65,SA,65,0.25,4,5,7,2.7807293915144227,0.954578161239624,1.2669754028320312,1.0
65,QA,65,0.125,3,4,4,2.5706987681922593,1.8286049365997314,0.02,1.0
66,SA,66,0.2578125,5,5,7,2.7074176543740416,2.210873603820801,2.952420711517334,1.0
66,QA,66,0.234375,4,5,7,2.62824656016973,1.6863784790039062,0.02,1.0
67,SA,67,0.1875,4,5,6,2.6335810037648324,0.9750525951385498,1.3497614860534668,1.0
67,QA,67,0.125,3,4,4,2.5278115613895373,1.9390487670898438,0.02,1.0
68,SA,68,0.25,4,5,7,2.7807293915144227,1.1034667491912842,1.2834525108337402,1.0
68,QA,68,0.125,3,4,4,2.4030033814677427,4.368764877319336,0.02,1.0
69,SA,69,0.125,3,4,4,2.6054533234956203,3.992357015609741,4.628634452819824,1.0
69,QA,69,0.21875,5,5,6,2.65336979776342,6.2869040966033936,0.02,1.0
70,SA,70,0.21875,4,5,6,2.6335810037648324,2.7040939331054688,3.4105587005615234,1.0
70,QA,70,0.25,3,5,6,2.740016447807493,6.350156307220459,0.02,1.0
71,SA,71,0.125,3,4,4,2.5706987681922593,4.128891468048096,5.622467994689941,1.0
71,QA,71,0.203125,4,5,6,2.6335810037648324,6.3325629234313965,0.02,1.0
72,SA,72,0.25,4,5,7,2.7807293915144227,2.951155185699463,4.604136943817139,1.0
72,QA,72,0.1875,4,5,6,2.727653169987371,6.3460938930511475,0.02,1.0
73,SA,73,0.1875,3,5,5,2.677202074779445,3.2196614742279053,3.96493673324585,1.0
73,QA,73,0.3125,4,5,8,2.6767625206464367,6.348158836364746,0.02,1.0
74,SA,74,0.1875,4,5,6,2.6335810037648324,0.9874274730682373,1.358029842376709,1.0
74,QA,74,0.25,4,5,7,2.7807293915144227,4.4544432163238525,0.02,1.0
75,SA,75,0.25,4,5,7,2.7807293915144227,3.1757054328918457,2.9433751106262207,1.0
75,QA,75,0.125,3,4,4,2.47066568551231,6.370659828186035,0.02,1.0
76,SA,76,0.25,4,5,7,2.7807293915144227,2.3490896224975586,5.372316837310791,1.0
76,QA,76,0.125,5,5,5,2.6551279250200834,2.2958242893218994,0.02,1.0
77,SA,77,0.1875,4,5,6,2.727653169987371,1.042496919631958,1.3510346412658691,1.0
77,QA,77,0.25,5,5,7,2.7734541198959484,1.9290592670440674,0.02,1.0
78,SA,78,0.125,3,4,4,2.6054533234956203,1.201749563217163,1.5692758560180664,1.0
78,QA,78,0.125,3,4,4,2.5706987681922593,1.8147251605987549,0.02,1.0
79,SA,79,0.125,3,4,4,2.6054533234956203,0.9341518878936768,1.2095952033996582,1.0
79,QA,79,0.125,4,5,5,2.41925334865703,1.9388959407806396,0.02,1.0
80,SA,80,0.125,2,4,4,2.6127851923606755,1.2573847770690918,1.6359305381774902,1.0
80,QA,80,0.125,4,4,4,2.472455160855513,1.8803884983062744,0.02,1.0
81,SA,81,0.25,4,5,7,2.7807293915144227,1.0925726890563965,1.3559603691101074,1.0
81,QA,81,0.265625,4,5,6,2.727653169987371,1.8388209342956543,0.02,1.0
82,SA,82,0.125,3,4,4,2.6054533234956203,1.2971272468566895,1.757819652557373,1.0
82,QA,82,0.25,4,5,7,2.7807293915144227,1.8731625080108643,0.02,1.0
83,SA,83,0.125,3,4,4,2.6054533234956203,1.0715670585632324,1.375107765197754,1.0
83,QA,83,0.125,3,3,4,2.563017415277506,1.830127477645874,0.02,1.0
84,SA,84,0.125,3,5,5,2.617687289739069,1.6447582244873047,2.1478676795959473,1.0
84,QA,84,0.21875,5,5,7,2.7734541198959484,1.7298016548156738,0.02,1.0
85,SA,85,0.125,3,4,4,2.6054533234956203,1.1227004528045654,1.2220025062561035,1.0
85,QA,85,0.125,3,4,4,2.5706987681922593,1.901902437210083,0.02,1.0
86,SA,86,0.125,3,4,4,2.5706987681922593,0.9829676151275635,1.2728524208068848,1.0
86,QA,86,0.21875,4,5,6,2.6335810037648324,1.7705130577087402,0.02,1.0
87,SA,87,0.1875,4,5,6,2.6335810037648324,0.9365074634552002,1.2080883979797363,1.0
87,QA,87,0.125,3,4,4,2.6054533234956203,1.885770559310913,0.02,1.0
88,SA,88,0.25,4,5,7,2.7807293915144227,1.7133517265319824,1.3561010360717773,1.0
88,QA,88,0.2265625,5,5,7,2.7734541198959484,6.356191158294678,0.02,1.0
89,SA,89,0.1875,4,5,6,2.6335810037648324,2.684645175933838,4.148416519165039,1.0
